mandt,spras,dimid,txdim,operation_flag,is_deleted,recordstamp
100,E,SURFAC,Area,I,False,2022-04-21 15:05:21.456865+00:00
100,E,MASS,Mass,I,False,2022-04-21 15:05:21.456865+00:00
100,E,TIME,Time,I,False,2022-04-21 15:05:21.456865+00:00
100,D,TIME,Zeit,I,False,2022-04-21 15:05:21.456865+00:00
100,D,PRESS,Druck,I,False,2022-04-21 15:05:21.456865+00:00
100,E,FORCE,Force,I,False,2022-04-21 15:05:21.456865+00:00
100,D,FORCE,Kraft,I,False,2022-04-21 15:05:21.456865+00:00
100,D,MASS,Masse,I,False,2022-04-21 15:05:21.456865+00:00
100,E,POWER,Power,I,False,2022-04-21 15:05:21.456865+00:00
100,E,SPEED,Speed,I,False,2022-04-21 15:05:21.456865+00:00
100,D,DENSI,Dichte,I,False,2022-04-21 15:05:21.456865+00:00
100,E,ENERGY,Energy,I,False,2022-04-21 15:05:21.456865+00:00
100,E,LENGTH,Length,I,False,2022-04-21 15:05:21.456865+00:00
100,D,LENGTH,Länge,I,False,2022-04-21 15:05:21.456865+00:00
100,E,POINTS,Points,I,False,2022-04-21 15:05:21.456865+00:00
100,D,POINTS,Punkte,I,False,2022-04-21 15:05:21.456865+00:00
100,E,VOLUME,Volume,I,False,2022-04-21 15:05:21.456865+00:00
100,E,DENSI,Density,I,False,2022-04-21 15:05:21.456865+00:00
100,D,ENERGY,Energie,I,False,2022-04-21 15:05:21.456865+00:00
100,D,SURFAC,Fläche,I,False,2022-04-21 15:05:21.456865+00:00
100,D,VOLUME,Volumen,I,False,2022-04-21 15:05:21.456865+00:00
100,D,FREQU,Frequenz,I,False,2022-04-21 15:05:21.456865+00:00
100,D,POWER,Leistung,I,False,2022-04-21 15:05:21.456865+00:00
100,D,MOLMAS,Molmasse,I,False,2022-04-21 15:05:21.456865+00:00
100,D,MOLQU,Molmenge,I,False,2022-04-21 15:05:21.456865+00:00
100,E,PRESS,Pressure,I,False,2022-04-21 15:05:21.456865+00:00
100,E,FREQU,Frequency,I,False,2022-04-21 15:05:21.456865+00:00
100,E,MOLMAS,Molar Mass,I,False,2022-04-21 15:05:21.456865+00:00
100,E,PROPOR,Proportion,I,False,2022-04-21 15:05:21.456865+00:00
100,D,TEMP,Temperatur,I,False,2022-04-21 15:05:21.456865+00:00
100,E,CAPACI,Capacitance,I,False,2022-04-21 15:05:21.456865+00:00
100,D,MASFLO,Massenstrom,I,False,2022-04-21 15:05:21.456865+00:00
100,E,TEMP,Temperature,I,False,2022-04-21 15:05:21.456865+00:00
100,D,PROPOR,Verhältnis,I,False,2022-04-21 15:05:21.456865+00:00
100,E,ACCEL,Acceleration,I,False,2022-04-21 15:05:21.456865+00:00
100,E,CONDUC,Conductivity,I,False,2022-04-21 15:05:21.456865+00:00
100,D,LIGHT,Lichtstärke,I,False,2022-04-21 15:05:21.456865+00:00
100,E,MOENER,Molar energy,I,False,2022-04-21 15:05:21.456865+00:00
100,E,PERMEA,Permeability,I,False,2022-04-21 15:05:21.456865+00:00
100,D,VOLFLO,Volumenstrom,I,False,2022-04-21 15:05:21.456865+00:00
